bean_name;bean_details;attribute_name
HotSpotDiagnostic;DiagnosticOptions.value#0;HotSpotDiagnostic.DiagnosticOptions.value#0
HotSpotDiagnostic;DiagnosticOptions.writeable#0;HotSpotDiagnostic.DiagnosticOptions.writeable#0
HotSpotDiagnostic;DiagnosticOptions.name#1;HotSpotDiagnostic.DiagnosticOptions.name#1
HotSpotDiagnostic;DiagnosticOptions.origin#1;HotSpotDiagnostic.DiagnosticOptions.origin#1
HotSpotDiagnostic;DiagnosticOptions.value#1;HotSpotDiagnostic.DiagnosticOptions.value#1
HotSpotDiagnostic;DiagnosticOptions.writeable#1;HotSpotDiagnostic.DiagnosticOptions.writeable#1
HotSpotDiagnostic;DiagnosticOptions.name#2;HotSpotDiagnostic.DiagnosticOptions.name#2
HotSpotDiagnostic;DiagnosticOptions.origin#2;HotSpotDiagnostic.DiagnosticOptions.origin#2
HotSpotDiagnostic;DiagnosticOptions.value#2;HotSpotDiagnostic.DiagnosticOptions.value#2
HotSpotDiagnostic;DiagnosticOptions.writeable#2;HotSpotDiagnostic.DiagnosticOptions.writeable#2
HotSpotDiagnostic;DiagnosticOptions.name#3;HotSpotDiagnostic.DiagnosticOptions.name#3
HotSpotDiagnostic;DiagnosticOptions.origin#3;HotSpotDiagnostic.DiagnosticOptions.origin#3
HotSpotDiagnostic;DiagnosticOptions.value#3;HotSpotDiagnostic.DiagnosticOptions.value#3
HotSpotDiagnostic;DiagnosticOptions.writeable#3;HotSpotDiagnostic.DiagnosticOptions.writeable#3
HotSpotDiagnostic;DiagnosticOptions.name#4;HotSpotDiagnostic.DiagnosticOptions.name#4
HotSpotDiagnostic;DiagnosticOptions.origin#4;HotSpotDiagnostic.DiagnosticOptions.origin#4
HotSpotDiagnostic;DiagnosticOptions.value#4;HotSpotDiagnostic.DiagnosticOptions.value#4
HotSpotDiagnostic;DiagnosticOptions.writeable#4;HotSpotDiagnostic.DiagnosticOptions.writeable#4
HotSpotDiagnostic;DiagnosticOptions.name#5;HotSpotDiagnostic.DiagnosticOptions.name#5
HotSpotDiagnostic;DiagnosticOptions.origin#5;HotSpotDiagnostic.DiagnosticOptions.origin#5
HotSpotDiagnostic;DiagnosticOptions.value#5;HotSpotDiagnostic.DiagnosticOptions.value#5
HotSpotDiagnostic;DiagnosticOptions.writeable#5;HotSpotDiagnostic.DiagnosticOptions.writeable#5
HotSpotDiagnostic;DiagnosticOptions.name#6;HotSpotDiagnostic.DiagnosticOptions.name#6
HotSpotDiagnostic;DiagnosticOptions.origin#6;HotSpotDiagnostic.DiagnosticOptions.origin#6
HotSpotDiagnostic;DiagnosticOptions.value#6;HotSpotDiagnostic.DiagnosticOptions.value#6
HotSpotDiagnostic;DiagnosticOptions.writeable#6;HotSpotDiagnostic.DiagnosticOptions.writeable#6
HotSpotDiagnostic;DiagnosticOptions.name#7;HotSpotDiagnostic.DiagnosticOptions.name#7
HotSpotDiagnostic;DiagnosticOptions.origin#7;HotSpotDiagnostic.DiagnosticOptions.origin#7
HotSpotDiagnostic;DiagnosticOptions.value#7;HotSpotDiagnostic.DiagnosticOptions.value#7
HotSpotDiagnostic;DiagnosticOptions.writeable#7;HotSpotDiagnostic.DiagnosticOptions.writeable#7
HotSpotDiagnostic;DiagnosticOptions.name#8;HotSpotDiagnostic.DiagnosticOptions.name#8
HotSpotDiagnostic;DiagnosticOptions.origin#8;HotSpotDiagnostic.DiagnosticOptions.origin#8
HotSpotDiagnostic;DiagnosticOptions.value#8;HotSpotDiagnostic.DiagnosticOptions.value#8
HotSpotDiagnostic;DiagnosticOptions.writeable#8;HotSpotDiagnostic.DiagnosticOptions.writeable#8
HotSpotDiagnostic;DiagnosticOptions.name#9;HotSpotDiagnostic.DiagnosticOptions.name#9
HotSpotDiagnostic;DiagnosticOptions.origin#9;HotSpotDiagnostic.DiagnosticOptions.origin#9
HotSpotDiagnostic;DiagnosticOptions.value#9;HotSpotDiagnostic.DiagnosticOptions.value#9
HotSpotDiagnostic;DiagnosticOptions.writeable#9;HotSpotDiagnostic.DiagnosticOptions.writeable#9
HotSpotDiagnostic;DiagnosticOptions.name#10;HotSpotDiagnostic.DiagnosticOptions.name#10
HotSpotDiagnostic;DiagnosticOptions.origin#10;HotSpotDiagnostic.DiagnosticOptions.origin#10
HotSpotDiagnostic;DiagnosticOptions.value#10;HotSpotDiagnostic.DiagnosticOptions.value#10
HotSpotDiagnostic;DiagnosticOptions.writeable#10;HotSpotDiagnostic.DiagnosticOptions.writeable#10
HotSpotDiagnostic;DiagnosticOptions.name#11;HotSpotDiagnostic.DiagnosticOptions.name#11
HotSpotDiagnostic;DiagnosticOptions.origin#11;HotSpotDiagnostic.DiagnosticOptions.origin#11
HotSpotDiagnostic;DiagnosticOptions.value#11;HotSpotDiagnostic.DiagnosticOptions.value#11
HotSpotDiagnostic;DiagnosticOptions.writeable#11;HotSpotDiagnostic.DiagnosticOptions.writeable#11
HotSpotDiagnostic;DiagnosticOptions.name#12;HotSpotDiagnostic.DiagnosticOptions.name#12
HotSpotDiagnostic;DiagnosticOptions.origin#12;HotSpotDiagnostic.DiagnosticOptions.origin#12
HotSpotDiagnostic;DiagnosticOptions.value#12;HotSpotDiagnostic.DiagnosticOptions.value#12
HotSpotDiagnostic;DiagnosticOptions.writeable#12;HotSpotDiagnostic.DiagnosticOptions.writeable#12
HotSpotDiagnostic;DiagnosticOptions.name#13;HotSpotDiagnostic.DiagnosticOptions.name#13
HotSpotDiagnostic;DiagnosticOptions.origin#13;HotSpotDiagnostic.DiagnosticOptions.origin#13
HotSpotDiagnostic;DiagnosticOptions.value#13;HotSpotDiagnostic.DiagnosticOptions.value#13
HotSpotDiagnostic;DiagnosticOptions.writeable#13;HotSpotDiagnostic.DiagnosticOptions.writeable#13
HotSpotDiagnostic;DiagnosticOptions.name#14;HotSpotDiagnostic.DiagnosticOptions.name#14
HotSpotDiagnostic;DiagnosticOptions.origin#14;HotSpotDiagnostic.DiagnosticOptions.origin#14
HotSpotDiagnostic;DiagnosticOptions.value#14;HotSpotDiagnostic.DiagnosticOptions.value#14
HotSpotDiagnostic;DiagnosticOptions.writeable#14;HotSpotDiagnostic.DiagnosticOptions.writeable#14
HotSpotDiagnostic;DiagnosticOptions.name#15;HotSpotDiagnostic.DiagnosticOptions.name#15
HotSpotDiagnostic;DiagnosticOptions.origin#15;HotSpotDiagnostic.DiagnosticOptions.origin#15
HotSpotDiagnostic;DiagnosticOptions.value#15;HotSpotDiagnostic.DiagnosticOptions.value#15
HotSpotDiagnostic;DiagnosticOptions.writeable#15;HotSpotDiagnostic.DiagnosticOptions.writeable#15
HotSpotDiagnostic;DiagnosticOptions.name#16;HotSpotDiagnostic.DiagnosticOptions.name#16
HotSpotDiagnostic;DiagnosticOptions.origin#16;HotSpotDiagnostic.DiagnosticOptions.origin#16
HotSpotDiagnostic;DiagnosticOptions.value#16;HotSpotDiagnostic.DiagnosticOptions.value#16
